Word           Frequency      Posting List   
baked          4              [(1, 9581), (1, 9624), (2, 13521), (2, 14155)]

baker          1              [(2, 5079)]    

balbisiana     6              [(2, 435), (2, 4707), (2, 4871), (2, 4921), (2, 5324), (2, 9674)]

balick         1              [(1, 19181)]   

banana         87             [(2, 0), (2, 103), (2, 252), (2, 785), (2, 955), (2, 1056), (2, 1332), (2, 1759), (2, 1783), (2, 2036), (2, 2080), (2, 2109), (2, 2262), (2, 2343), (2, 2370), (2, 2397), (2, 2414), (2, 2924), (2, 3481), (2, 3512), (2, 3681), (2, 3728), (2, 3762), (2, 3964), (2, 5131), (2, 5541), (2, 5581), (2, 7041), (2, 7335), (2, 7420), (2, 7541), (2, 7751), (2, 8044), (2, 8116), (2, 8374), (2, 9213), (2, 9280), (2, 9369), (2, 9547), (2, 10065), (2, 10870), (2, 11512), (2, 11673), (2, 12146), (2, 12712), (2, 12779), (2, 13283), (2, 13375), (2, 13566), (2, 13651), (2, 14090), (2, 14207), (2, 14324), (2, 14369), (2, 14421), (2, 14623), (2, 14759), (2, 14812), (2, 14990), (2, 15060), (2, 15269), (2, 15637), (2, 15731), (2, 15800), (2, 15842), (2, 15855), (2, 15928), (2, 15939), (2, 15975), (2, 16086), (2, 16145), (2, 17038), (2, 18665), (2, 19020), (2, 19516), (2, 20032), (2, 20703), (2, 20818), (2, 20887), (2, 21520), (2, 23452), (2, 24277), (2, 25892), (2, 26119), (2, 26509), (2, 26822), (2, 26942)]

bananafibre    1              [(2, 24762)]   

bananagrowing  1              [(2, 895)]     

bananas        76             [(2, 72), (2, 142), (2, 267), (2, 384), (2, 607), (2, 725), (2, 829), (2, 1386), (2, 2501), (2, 3914), (2, 4224), (2, 4309), (2, 5425), (2, 5800), (2, 5840), (2, 5861), (2, 5881), (2, 5942), (2, 6010), (2, 6067), (2, 6136), (2, 6199), (2, 6384), (2, 6562), (2, 6593), (2, 6709), (2, 6858), (2, 7165), (2, 7401), (2, 7640), (2, 7683), (2, 7770), (2, 7848), (2, 7894), (2, 8436), (2, 8953), (2, 9606), (2, 9646), (2, 9709), (2, 9823), (2, 10022), (2, 10269), (2, 10444), (2, 10497), (2, 10575), (2, 10613), (2, 10643), (2, 10746), (2, 11114), (2, 11168), (2, 11266), (2, 11347), (2, 11400), (2, 11880), (2, 12833), (2, 12995), (2, 13142), (2, 13262), (2, 13417), (2, 13492), (2, 13696), (2, 13898), (2, 16542), (2, 16965), (2, 16973), (2, 17376), (2, 18954), (2, 19261), (2, 19281), (2, 20985), (2, 21709), (2, 21865), (2, 22019), (2, 22799), (2, 23046), (2, 26735)]

bananascharleston1              [(2, 25030)]   

bananer        1              [(2, 16215)]   

band           1              [(2, 10932)]   

bandyopadhyay  1              [(2, 23396)]   

baoxiu         1              [(2, 18965)]   

barahona       1              [(1, 16609)]   

barbara        1              [(1, 17438)]   

barker         1              [(2, 22688)]   

barranco       1              [(1, 18572)]   

barrier        1              [(1, 10382)]   

base           2              [(2, 2633), (2, 3235)]

based          3              [(2, 4334), (2, 5216), (2, 5496)]

basho          1              [(2, 25233)]   

basque         1              [(1, 18479)]   

batter         1              [(2, 13917)]   

bauer          1              [(2, 23942)]   

baurens        2              [(2, 18367), (2, 22329)]

baños          1              [(2, 26883)]   

bbb            1              [(2, 27288)]   

bbc            3              [(2, 21114), (2, 21118), (2, 25570)]

bce            1              [(2, 7302)]    

