Word           Frequency      Posting List   
banana         163            [(2, 0), (2, 70), (2, 99), (2, 137), (2, 234), (2, 249), (2, 352), (2, 559), (2, 668), (2, 720), (2, 761), (2, 879), (2, 974), (2, 1234), (2, 1283), (2, 1599), (2, 1622), (2, 1841), (2, 1878), (2, 1903), (2, 2044), (2, 2117), (2, 2144), (2, 2171), (2, 2188), (2, 2271), (2, 2670), (2, 3175), (2, 3205), (2, 3356), (2, 3400), (2, 3433), (2, 3574), (2, 3618), (2, 3859), (2, 3932), (2, 4694), (2, 4967), (2, 5075), (2, 5113), (2, 5315), (2, 5347), (2, 5367), (2, 5383), (2, 5435), (2, 5498), (2, 5547), (2, 5610), (2, 5666), (2, 5844), (2, 5997), (2, 6026), (2, 6135), (2, 6273), (2, 6447), (2, 6558), (2, 6703), (2, 6760), (2, 6776), (2, 6884), (2, 6974), (2, 7013), (2, 7076), (2, 7091), (2, 7164), (2, 7208), (2, 7344), (2, 7414), (2, 7648), (2, 7703), (2, 8147), (2, 8375), (2, 8441), (2, 8521), (2, 8680), (2, 8728), (2, 8767), (2, 8827), (2, 8927), (2, 9110), (2, 9147), (2, 9334), (2, 9491), (2, 9540), (2, 9609), (2, 9644), (2, 9672), (2, 9767), (2, 9876), (2, 10099), (2, 10147), (2, 10235), (2, 10309), (2, 10353), (2, 10452), (2, 10596), (2, 10781), (2, 11008), (2, 11479), (2, 11544), (2, 11593), (2, 11735), (2, 11865), (2, 11971), (2, 11990), (2, 12076), (2, 12113), (2, 12182), (2, 12250), (2, 12323), (2, 12365), (2, 12543), (2, 12726), (2, 12832), (2, 12946), (2, 12987), (2, 13039), (2, 13221), (2, 13338), (2, 13384), (2, 13545), (2, 13610), (2, 13791), (2, 14109), (2, 14191), (2, 14256), (2, 14294), (2, 14307), (2, 14373), (2, 14384), (2, 14414), (2, 14520), (2, 14579), (2, 14953), (2, 15346), (2, 15353), (2, 15412), (2, 15709), (2, 16907), (2, 17169), (2, 17230), (2, 17453), (2, 17472), (2, 17673), (2, 18149), (2, 18762), (2, 18868), (2, 18933), (2, 19021), (2, 19510), (2, 19683), (2, 19829), (2, 19971), (2, 20671), (2, 20899), (2, 21272), (2, 22016), (2, 23506), (2, 23711), (2, 24068), (2, 24275), (2, 24361), (2, 24463)]

bananafibr     1              [(2, 22473)]   

bananagrow     1              [(2, 825)]     

bananascharleston1              [(2, 22697)]   

band           1              [(2, 9936)]    

bandyopadhyay  1              [(2, 21221)]   

baoxiu         1              [(2, 17179)]   

barahona       1              [(1, 14764)]   

barbara        1              [(1, 15496)]   

barker         1              [(2, 20576)]   

barranco       1              [(1, 16505)]   

barrier        1              [(1, 9239)]    

base           5              [(2, 2397), (2, 2947), (2, 3954), (2, 4773), (2, 5034)]

basho          1              [(2, 22883)]   

basqu          1              [(1, 16427)]   

batter         1              [(2, 12559)]   

bauer          1              [(2, 21703)]   

bauren         2              [(2, 16617), (2, 20235)]

baño           1              [(2, 24419)]   

bbb            1              [(2, 24786)]   

bbc            3              [(2, 19136), (2, 19140), (2, 23200)]

bce            1              [(2, 6675)]    

be             33             [(1, 727), (1, 1585), (1, 1904), (1, 3259), (1, 5102), (1, 6047), (1, 6659), (1, 7324), (1, 7464), (1, 7558), (1, 7695), (1, 8504), (1, 8655), (1, 8944), (1, 9012), (1, 9730), (1, 10039), (1, 10633), (1, 17350), (2, 2235), (2, 3046), (2, 3639), (2, 4067), (2, 4161), (2, 5404), (2, 9551), (2, 9684), (2, 9857), (2, 10522), (2, 11456), (2, 12389), (2, 12967), (2, 15257)]

beach          1              [(2, 16044)]   

beacon         1              [(1, 12799)]   

bear           3              [(1, 6478), (1, 6617), (1, 6805)]

beauti         2              [(1, 3099), (1, 3639)]

becam          4              [(1, 1981), (1, 2998), (1, 3945), (1, 5346)]

becaus         5              [(1, 4032), (1, 5309), (1, 5852), (1, 9998), (2, 12309)]

becom          1              [(2, 10668)]   

bed            1              [(1, 10860)]   

been           12             [(1, 443), (1, 2207), (1, 5737), (1, 9142), (2, 506), (2, 3496), (2, 3874), (2, 6797), (2, 9968), (2, 13676), (2, 14138), (2, 15365)]

befor          1              [(1, 10578)]   

begin          2              [(2, 2726), (2, 6844)]

behind         1              [(1, 9419)]    

belief         2              [(2, 1750), (2, 14886)]

believ         1              [(2, 14988)]   

belong         2              [(2, 112), (2, 9035)]

below          1              [(1, 7543)]    

bergen         1              [(1, 12706)]   

bernard        2              [(2, 16789), (2, 20397)]

bernhard       1              [(2, 19414)]   

berri          1              [(2, 3523)]    

berrueta       1              [(1, 16518)]   

better         1              [(1, 4776)]    

between        9              [(1, 2268), (1, 2399), (1, 12112), (2, 660), (2, 3549), (2, 5539), (2, 6265), (2, 7942), (2, 17440)]

beverag        1              [(1, 9000)]    

bibl           1              [(1, 13639)]   

bibliographi   2              [(2, 1794), (2, 23802)]

bigbusi        1              [(2, 18845)]   

bill           1              [(2, 22926)]   

binari         1              [(2, 913)]     

biographi      1              [(1, 13773)]   

biolib         1              [(1, 17671)]   

biolog         1              [(2, 23989)]   

biosynthesi    1              [(1, 16616)]   

birchappl      1              [(1, 9852)]    

bitter         1              [(1, 2601)]    

bl             1              [(2, 19800)]   

black          2              [(2, 1584), (2, 11352)]

blade          1              [(2, 2387)]    

blake          1              [(2, 19774)]   

blenheim       1              [(1, 7214)]    

bloom          2              [(1, 5000), (1, 6199)]

blossom        4              [(1, 1185), (1, 1291), (1, 5916), (1, 6219)]

blue           1              [(2, 9521)]    

bluggo         1              [(2, 24748)]   

boa            1              [(2, 21016)]   

bob            3              [(1, 14693), (2, 19008), (2, 19047)]

boc            2              [(2, 16658), (2, 20274)]

boil           2              [(2, 13455), (2, 13772)]

bonnier        1              [(2, 22793)]   

bonum          1              [(1, 3880)]    

book           3              [(1, 13756), (1, 17261), (2, 20663)]

booksgooglecom 2              [(1, 13695), (1, 13783)]

borkh          1              [(1, 207)]     

botan          4              [(1, 828), (1, 1172), (1, 11896), (2, 4337)]

botani         3              [(1, 11889), (1, 14649), (1, 17170)]

both           7              [(2, 1211), (2, 4271), (2, 4405), (2, 5505), (2, 5625), (2, 10856), (2, 13146)]

bowti          1              [(1, 14203)]   

boy            1              [(2, 14749)]   

boyer          1              [(1, 15769)]   

brace          1              [(1, 13134)]   

bract          1              [(2, 13174)]   

bradburi       1              [(2, 21107)]   

bradley        1              [(1, 15470)]   

branch         1              [(1, 6763)]    

bread          1              [(1, 10903)]   

break          2              [(1, 10151), (2, 12167)]

bred           4              [(1, 644), (1, 4368), (1, 5527), (1, 8722)]

breed          6              [(1, 946), (1, 4543), (1, 4961), (1, 10355), (1, 11639), (2, 18140)]

brian          1              [(1, 12192)]   

bright         1              [(2, 6077)]    

brita          1              [(1, 2126)]    

brodski        1              [(2, 15976)]   

brother        1              [(2, 14837)]   

brought        1              [(1, 487)]     

brown          5              [(1, 9050), (1, 9426), (1, 9554), (1, 11574), (1, 17266)]

brox           1              [(1, 12731)]   

brush          1              [(1, 13625)]   

bunch          4              [(2, 3325), (2, 7288), (2, 7450), (2, 10459)]

bunchi         2              [(2, 1606), (2, 11486)]

burgess        2              [(2, 16848), (2, 20456)]

busi           1              [(2, 15951)]   

but            12             [(1, 3545), (1, 3747), (1, 4489), (1, 6128), (1, 6499), (1, 10513), (2, 300), (2, 2216), (2, 2900), (2, 4041), (2, 6042), (2, 8268)]

by             31             [(1, 512), (1, 738), (1, 2135), (1, 2526), (1, 3435), (1, 4067), (1, 4853), (1, 5118), (1, 5359), (1, 5511), (1, 5532), (1, 6057), (1, 6180), (1, 9154), (1, 13365), (1, 13443), (2, 844), (2, 4290), (2, 5257), (2, 6865), (2, 8556), (2, 8651), (2, 9003), (2, 9166), (2, 9560), (2, 9868), (2, 10187), (2, 11536), (2, 14090), (2, 21173), (2, 23746)]

